index,year,month,sector,hydroelectric_power,geothermal_energy,solar_energy,wind_energy,biomass_energy,total_renewable_energy
243,1977,1,Industrial,1.001,0,0,0,108.818,109.819
244,1977,1,Residential,0,0,0,0,0,46.014
245,1977,1,Transportation,0,0,0,0,0,0
246,1977,2,Commerical,0,0,0,0,0.789,0.789
247,1977,2,Electric Power,0,0.923,0,0,0.538,53.152
248,1977,2,Industrial,0.732,0,0,0,98.287,99.02
249,1977,2,Residential,0,0,0,0,0,41.561
250,1977,2,Transportation,0,0,0,0,0,0
251,1977,3,Commerical,0,0,0,0,0.874,0.874
252,1977,3,Electric Power,0,1.046,0,0,0.511,69.117
253,1977,3,Industrial,0.957,0,0,0,108.818,109.775
254,1977,3,Residential,0,0,0,0,0,46.014
255,1977,3,Transportation,0,0,0,0,0,0
256,1977,4,Commerical,0,0,0,0,0.845,0.845
257,1977,4,Electric Power,0,0.933,0,0,0.478,65.018
258,1977,4,Industrial,0.901,0,0,0,105.308,106.209
259,1977,4,Residential,0,0,0,0,0,44.53
260,1977,4,Transportation,0,0,0,0,0,0
261,1977,5,Commerical,0,0,0,0,0.874,0.874
262,1977,5,Electric Power,0,1.007,0,0,0.48,65.213
263,1977,5,Industrial,0.903,0,0,0,108.818,109.721
264,1977,5,Residential,0,0,0,0,0,46.014
265,1977,5,Transportation,0,0,0,0,0,0
266,1977,6,Commerical,0,0,0,0,0.845,0.845
267,1977,6,Electric Power,0,0.991,0,0,0.469,60.236
268,1977,6,Industrial,0.833,0,0,0,105.308,106.141
269,1977,6,Residential,0,0,0,0,0,44.53
270,1977,6,Transportation,0,0,0,0,0,0
271,1977,7,Commerical,0,0,0,0,0.874,0.874
272,1977,7,Electric Power,0,1.048,0,0,0.214,58.579
273,1977,7,Industrial,0.812,0,0,0,108.818,109.63
274,1977,7,Residential,0,0,0,0,0,46.014
275,1977,7,Transportation,0,0,0,0,0,0
276,1977,8,Commerical,0,0,0,0,0.874,0.874
277,1977,8,Electric Power,0,0.96,0,0,0.375,58.357
278,1977,8,Industrial,0.808,0,0,0,108.818,109.626
279,1977,8,Residential,0,0,0,0,0,46.014
280,1977,8,Transportation,0,0,0,0,0,0
281,1977,9,Commerical,0,0,0,0,0.845,0.845
282,1977,9,Electric Power,0,1.028,0,0,0.427,57.496
283,1977,9,Industrial,0.794,0,0,0,105.308,106.102
284,1977,9,Residential,0,0,0,0,0,44.53
285,1977,9,Transportation,0,0,0,0,0,0
286,1977,10,Commerical,0,0,0,0,0.874,0.874
287,1977,10,Electric Power,0,1.075,0,0,0.466,60.19
288,1977,10,Industrial,0.831,0,0,0,108.818,109.649
289,1977,10,Residential,0,0,0,0,0,46.014
290,1977,10,Transportation,0,0,0,0,0,0
291,1977,11,Commerical,0,0,0,0,0.845,0.845
292,1977,11,Electric Power,0,1.08,0,0,0.317,70.993
293,1977,11,Industrial,0.986,0,0,0,105.308,106.294
294,1977,11,Residential,0,0,0,0,0,44.53
295,1977,11,Transportation,0,0,0,0,0,0
296,1977,12,Commerical,0,0,0,0,0.874,0.874
297,1977,12,Electric Power,0,1.075,0,0,0.229,78.948
298,1977,12,Industrial,1.1,0,0,0,108.818,109.918
299,1977,12,Residential,0,0,0,0,0,46.014
300,1977,12,Transportation,0,0,0,0,0,0
301,1978,1,Commerical,0,0,0,0,1.005,1.005
302,1978,1,Electric Power,0,1.095,0,0,0.368,86.988
303,1978,1,Industrial,0.929,0,0,0,118.94,119.869
304,1978,1,Residential,0,0,0,0,0,52.815
305,1978,1,Transportation,0,0,0,0,0,0
306,1978,2,Commerical,0,0,0,0,0.908,0.908
307,1978,2,Electric Power,0,0.94,0,0,0.346,77.068
308,1978,2,Industrial,0.823,0,0,0,107.43,108.253
309,1978,2,Residential,0,0,0,0,0,47.703
310,1978,2,Transportation,0,0,0,0,0,0
311,1978,3,Commerical,0,0,0,0,1.005,1.005
312,1978,3,Electric Power,0,0.777,0,0,0.376,85.191
313,1978,3,Industrial,0.913,0,0,0,118.94,119.853
314,1978,3,Residential,0,0,0,0,0,52.815
315,1978,3,Transportation,0,0,0,0,0,0
316,1978,4,Commerical,0,0,0,0,0.973,0.973
317,1978,4,Electric Power,0,0.655,0,0,0.162,87.16
318,1978,4,Industrial,0.938,0,0,0,115.103,116.041
319,1978,4,Residential,0,0,0,0,0,51.111
320,1978,4,Transportation,0,0,0,0,0,0
321,1978,5,Commerical,0,0,0,0,1.005,1.005
322,1978,5,Electric Power,0,0.583,0,0,0.163,98.866
323,1978,5,Industrial,1.066,0,0,0,118.94,120.006
324,1978,5,Residential,0,0,0,0,0,52.815
325,1978,5,Transportation,0,0,0,0,0,0
326,1978,6,Commerical,0,0,0,0,0.973,0.973
327,1978,6,Electric Power,0,0.718,0,0,0.153,86.585
328,1978,6,Industrial,0.931,0,0,0,115.103,116.034
329,1978,6,Residential,0,0,0,0,0,51.111
330,1978,6,Transportation,0,0,0,0,0,0
331,1978,7,Commerical,0,0,0,0,1.005,1.005
332,1978,7,Electric Power,0,0.804,0,0,0.153,84.389
333,1978,7,Industrial,0.906,0,0,0,118.94,119.846
334,1978,7,Residential,0,0,0,0,0,52.815
335,1978,7,Transportation,0,0,0,0,0,0
336,1978,8,Commerical,0,0,0,0,1.005,1.005
337,1978,8,Electric Power,0,0.945,0,0,0.429,77.07
338,1978,8,Industrial,0.822,0,0,0,118.94,119.762
339,1978,8,Residential,0,0,0,0,0,52.815
340,1978,8,Transportation,0,0,0,0,0,0
341,1978,9,Commerical,0,0,0,0,0.973,0.973
342,1978,9,Electric Power,0,0.998,0,0,0.268,73.523
343,1978,9,Industrial,0.785,0,0,0,115.103,115.888
344,1978,9,Residential,0,0,0,0,0,51.111
345,1978,9,Transportation,0,0,0,0,0,0
346,1978,10,Commerical,0,0,0,0,1.005,1.005
347,1978,10,Electric Power,0,0.742,0,0,0.409,67.613
348,1978,10,Industrial,0.722,0,0,0,118.94,119.662
349,1978,10,Residential,0,0,0,0,0,52.815
350,1978,10,Transportation,0,0,0,0,0,0
351,1978,11,Commerical,0,0,0,0,0.973,0.973
352,1978,11,Electric Power,0,0.839,0,0,0.371,69.287
353,1978,11,Industrial,0.74,0,0,0,115.103,115.843
354,1978,11,Residential,0,0,0,0,0,51.111
355,1978,11,Transportation,0,0,0,0,0,0
356,1978,12,Commerical,0,0,0,0,1.005,1.005
357,1978,12,Electric Power,0,1.063,0,0,0.301,76.707
358,1978,12,Industrial,0.818,0,0,0,118.94,119.759
359,1978,12,Residential,0,0,0,0,0,52.815
360,1978,12,Transportation,0,0,0,0,0,0
361,1979,1,Commerical,0,0,0,0,1.173,1.173
362,1979,1,Electric Power,0,1.021,0,0,0.273,86.668
363,1979,1,Industrial,1.005,0,0,0,119.317,120.322
364,1979,1,Residential,0,0,0,0,0,61.837
365,1979,1,Transportation,0,0,0,0,0,0
366,1979,2,Commerical,0,0,0,0,1.06,1.06
367,1979,2,Electric Power,0,0.836,0,0,0.414,73.841
368,1979,2,Industrial,0.854,0,0,0,107.77,108.625
369,1979,2,Residential,0,0,0,0,0,55.852
370,1979,2,Transportation,0,0,0,0,0,0
371,1979,3,Commerical,0,0,0,0,1.173,1.173
372,1979,3,Electric Power,0,1.121,0,0,0.554,90.117
373,1979,3,Industrial,1.041,0,0,0,119.317,120.358
374,1979,3,Residential,0,0,0,0,0,61.837
375,1979,3,Transportation,0,0,0,0,0,0
376,1979,4,Commerical,0,0,0,0,1.135,1.135
377,1979,4,Electric Power,0,1.037,0,0,0.399,88.061
378,1979,4,Industrial,1.02,0,0,0,115.468,116.488
379,1979,4,Residential,0,0,0,0,0,59.842
380,1979,4,Transportation,0,0,0,0,0,0
381,1979,5,Commerical,0,0,0,0,1.173,1.173
382,1979,5,Electric Power,0,1.043,0,0,0.455,100.238
383,1979,5,Industrial,1.162,0,0,0,119.317,120.479
384,1979,5,Residential,0,0,0,0,0,61.837
385,1979,5,Transportation,0,0,0,0,0,0
386,1979,6,Commerical,0,0,0,0,1.135,1.135
387,1979,6,Electric Power,0,1.056,0,0,0.387,86.67
388,1979,6,Industrial,1.003,0,0,0,115.468,116.471
389,1979,6,Residential,0,0,0,0,0,59.842
390,1979,6,Transportation,0,0,0,0,0,0
391,1979,7,Commerical,0,0,0,0,1.173,1.173
392,1979,7,Electric Power,0,1.12,0,0,0.373,79.153
393,1979,7,Industrial,0.914,0,0,0,119.317,120.231
394,1979,7,Residential,0,0,0,0,0,61.837
395,1979,7,Transportation,0,0,0,0,0,0
396,1979,8,Commerical,0,0,0,0,1.173,1.173
397,1979,8,Electric Power,0,1.222,0,0,0.481,74.242
398,1979,8,Industrial,0.854,0,0,0,119.317,120.171
399,1979,8,Residential,0,0,0,0,0,61.837
400,1979,8,Transportation,0,0,0,0,0,0
401,1979,9,Commerical,0,0,0,0,1.135,1.135
402,1979,9,Electric Power,0,1.06,0,0,0.446,66.26
403,1979,9,Industrial,0.762,0,0,0,115.468,116.23
404,1979,9,Residential,0,0,0,0,0,59.842
405,1979,9,Transportation,0,0,0,0,0,0
406,1979,10,Commerical,0,0,0,0,1.173,1.173
407,1979,10,Electric Power,0,1.189,0,0,0.425,70.422
408,1979,10,Industrial,0.81,0,0,0,119.317,120.127
409,1979,10,Residential,0,0,0,0,0,61.837
410,1979,10,Transportation,0,0,0,0,0,0
411,1979,11,Commerical,0,0,0,0,1.135,1.135
412,1979,11,Electric Power,0,1.155,0,0,0.504,77.973
413,1979,11,Industrial,0.898,0,0,0,115.468,116.366
414,1979,11,Residential,0,0,0,0,0,59.842
415,1979,11,Transportation,0,0,0,0,0,0
416,1979,12,Commerical,0,0,0,0,1.173,1.173
417,1979,12,Electric Power,0,1.409,0,0,0.444,79.397
418,1979,12,Industrial,0.913,0,0,0,119.317,120.23
419,1979,12,Residential,0,0,0,0,0,61.837
420,1979,12,Transportation,0,0,0,0,0,0
421,1980,1,Commerical,0,0,0,0,1.779,1.779
422,1980,1,Electric Power,0,1.148,0,0,0.537,87.934
423,1980,1,Industrial,0.995,0,0,0,135.519,136.514
424,1980,1,Residential,0,0,0,0,0,71.995
425,1980,1,Transportation,0,0,0,0,0,0
426,1980,2,Commerical,0,0,0,0,1.664,1.664
427,1980,2,Electric Power,0,1.103,0,0,0.521,74.564
428,1980,2,Industrial,0.841,0,0,0,126.776,127.617
429,1980,2,Residential,0,0,0,0,0,67.35
430,1980,2,Transportation,0,0,0,0,0,0
431,1980,3,Commerical,0,0,0,0,1.779,1.779
432,1980,3,Electric Power,0,1.225,0,0,0.435,84.681
433,1980,3,Industrial,0.957,0,0,0,135.519,136.476
434,1980,3,Residential,0,0,0,0,0,71.995
435,1980,3,Transportation,0,0,0,0,0,0
436,1980,4,Commerical,0,0,0,0,1.721,1.721
437,1980,4,Electric Power,0,1.284,0,0,0.353,89.489
438,1980,4,Industrial,1.013,0,0,0,131.148,132.16
439,1980,4,Residential,0,0,0,0,0,69.672
440,1980,4,Transportation,0,0,0,0,0,0
441,1980,5,Commerical,0,0,0,0,1.779,1.779
442,1980,5,Electric Power,0,1.512,0,0,0.256,100.254
443,1980,5,Industrial,1.135,0,0,0,135.519,136.655
444,1980,5,Residential,0,0,0,0,0,71.995
445,1980,5,Transportation,0,0,0,0,0,0
446,1980,6,Commerical,0,0,0,0,1.721,1.721
447,1980,6,Electric Power,0,1.459,0,0,0.183,96.004
448,1980,6,Industrial,1.088,0,0,0,131.148,132.235
449,1980,6,Residential,0,0,0,0,0,69.672
450,1980,6,Transportation,0,0,0,0,0,0
451,1980,7,Commerical,0,0,0,0,1.779,1.779
452,1980,7,Electric Power,0,1.534,0,0,0.262,85.284
453,1980,7,Industrial,0.96,0,0,0,135.519,136.48
454,1980,7,Residential,0,0,0,0,0,71.995
455,1980,7,Transportation,0,0,0,0,0,0
456,1980,8,Commerical,0,0,0,0,1.779,1.779
457,1980,8,Electric Power,0,1.639,0,0,0.382,71.733
458,1980,8,Industrial,0.805,0,0,0,135.519,136.325
459,1980,8,Residential,0,0,0,0,0,71.995
460,1980,8,Transportation,0,0,0,0,0,0
461,1980,9,Commerical,0,0,0,0,1.721,1.721
462,1980,9,Electric Power,0,1.48,0,0,0.364,64.936
463,1980,9,Industrial,0.727,0,0,0,131.148,131.875
464,1980,9,Residential,0,0,0,0,0,69.672
465,1980,9,Transportation,0,0,0,0,0,0
466,1980,10,Commerical,0,0,0,0,1.779,1.779
467,1980,10,Electric Power,0,1.681,0,0,0.424,63.063
468,1980,10,Industrial,0.703,0,0,0,135.519,136.222
469,1980,10,Residential,0,0,0,0,0,71.995
470,1980,10,Transportation,0,0,0,0,0,0
471,1980,11,Commerical,0,0,0,0,1.721,1.721
472,1980,11,Electric Power,0,1.643,0,0,0.404,67.616
473,1980,11,Industrial,0.756,0,0,0,131.148,131.903
474,1980,11,Residential,0,0,0,0,0,69.672
475,1980,11,Transportation,0,0,0,0,0,0
476,1980,12,Commerical,0,0,0,0,1.779,1.779
477,1980,12,Electric Power,0,1.602,0,0,0.379,78.034
478,1980,12,Industrial,0.805,0,0,0,135.519,136.324
479,1980,12,Residential,0,0,0,0,0,71.995
480,1980,12,Transportation,0,0,0,0,0,0
481,1981,1,Commerical,0,0,0,0,1.788,1.788
482,1981,1,Electric Power,0,1.725,0,0,0.365,78.308
483,1981,1,Industrial,0.995,0,0,0,143.93,144.925
484,1981,1,Residential,0,0,0,0,0,73.89
485,1981,1,Transportation,0,0,0,0,0.571,0.571
486,1981,2,Commerical,0,0,0,0,1.615,1.615
487,1981,2,Electric Power,0,1.525,0,0,0.376,73.891
488,1981,2,Industrial,0.841,0,0,0,130.002,130.843
489,1981,2,Residential,0,0,0,0,0,66.74
490,1981,2,Transportation,0,0,0,0,0.516,0.516
491,1981,3,Commerical,0,0,0,0,1.788,1.788
492,1981,3,Electric Power,0,1.71,0,0,0.415,72.318
493,1981,3,Industrial,0.957,0,0,0,143.93,144.888
494,1981,3,Residential,0,0,0,0,0,73.89
495,1981,3,Transportation,0,0,0,0,0.571,0.571
496,1981,4,Commerical,0,0,0,0,1.73,1.73
497,1981,4,Electric Power,0,1.579,0,0,0.39,72.674
498,1981,4,Industrial,1.013,0,0,0,139.288,140.3
499,1981,4,Residential,0,0,0,0,0,71.507
500,1981,4,Transportation,0,0,0,0,0.553,0.553
501,1981,5,Commerical,0,0,0,0,1.788,1.788
502,1981,5,Electric Power,0,1.564,0,0,0.253,83.982
