Order Date,Ship Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Year,Order Month,Delivery Days
18/4/2015,22/4/2015,Standard Class,Consumer,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.33,2015,April,4
18/4/2015,22/4/2015,Standard Class,Consumer,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.96,2015,April,4
18/4/2015,22/4/2015,Standard Class,Consumer,Indiana,Central,Furniture,Chairs,89.99,1,0,17.10,2015,April,4
11/12/2016,17/12/2016,Standard Class,Corporate,New York,East,Office Supplies,Fasteners,15.26,7,0,6.26,2016,December,6
11/12/2016,17/12/2016,Standard Class,Corporate,New York,East,Technology,Phones,1029.95,5,0,298.69,2016,December,6
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Office Supplies,Storage,208.56,6,0,52.14,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Office Supplies,Paper,32.40,5,0,15.55,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Furniture,Chairs,319.41,5,0.1,7.10,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Office Supplies,Paper,14.56,2,0,6.99,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Technology,Accessories,30.00,2,0,3.30,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Office Supplies,Binders,48.48,4,0.2,16.36,2016,June,1
17/6/2016,18/6/2016,First Class,Consumer,New York,East,Office Supplies,Art,1.68,1,0,0.84,2016,June,1
24/11/2015,30/11/2015,Standard Class,Consumer,California,West,Technology,Accessories,13.98,2,0,6.15,2015,November,6
24/11/2015,30/11/2015,Standard Class,Consumer,California,West,Office Supplies,Binders,25.82,6,0.2,9.36,2015,November,6
24/11/2015,30/11/2015,Standard Class,Consumer,California,West,Office Supplies,Paper,146.73,3,0,68.96,2015,November,6
24/11/2015,30/11/2015,Standard Class,Consumer,California,West,Furniture,Furnishings,79.76,4,0,22.33,2015,November,6
30/4/2015,5/5/2015,Standard Class,Home Office,Illinois,Central,Furniture,Chairs,213.12,5,0.3,-15.22,2015,April,5
5/12/2014,10/12/2014,Standard Class,Corporate,Arizona,West,Office Supplies,Art,1113.02,8,0.2,111.30,2014,December,5
5/12/2014,10/12/2014,Standard Class,Corporate,Arizona,West,Technology,Phones,167.97,4,0.2,62.99,2014,December,5
4/6/2016,6/6/2016,First Class,Consumer,Virginia,South,Office Supplies,Paper,75.88,2,0,35.66,2016,June,2
18/9/2016,23/9/2016,Standard Class,Consumer,New York,East,Office Supplies,Binders,4.62,1,0.2,1.73,2016,September,5
14/9/2017,17/9/2017,Second Class,Consumer,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.76,2017,September,3
26/4/2015,2/5/2015,Standard Class,Consumer,Tennessee,South,Furniture,Chairs,831.94,8,0.2,-114.39,2015,April,6
26/4/2015,2/5/2015,Standard Class,Consumer,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.21,2015,April,6
26/4/2015,2/5/2015,Standard Class,Consumer,Tennessee,South,Office Supplies,Storage,72.78,1,0.2,-18.20,2015,April,6
9/12/2017,11/12/2017,First Class,Corporate,Texas,Central,Office Supplies,Binders,1.25,3,0.8,-1.93,2017,December,2
9/12/2017,11/12/2017,First Class,Corporate,Texas,Central,Furniture,Furnishings,9.71,3,0.6,-5.82,2017,December,2
9/12/2017,11/12/2017,First Class,Corporate,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.72,2017,December,2
26/11/2014,1/12/2014,Second Class,Consumer,Texas,Central,Furniture,Furnishings,19.30,5,0.6,-14.48,2014,November,5
12/6/2016,15/6/2016,First Class,Corporate,Alabama,South,Office Supplies,Appliances,208.16,1,0,56.20,2016,June,3
12/6/2016,15/6/2016,First Class,Corporate,Alabama,South,Office Supplies,Binders,16.74,3,0,8.04,2016,June,3
12/10/2014,16/10/2014,Standard Class,Consumer,California,West,Office Supplies,Art,14.90,5,0,4.17,2014,October,4
12/10/2014,16/10/2014,Standard Class,Consumer,California,West,Office Supplies,Storage,21.39,1,0,6.20,2014,October,4
3/9/2015,8/9/2015,Standard Class,Corporate,North Carolina,South,Office Supplies,Envelopes,200.98,7,0.2,62.81,2015,September,5
13/11/2017,16/11/2017,First Class,Home Office,Illinois,Central,Office Supplies,Storage,230.38,3,0.2,-48.95,2017,November,3
28/5/2017,30/5/2017,Second Class,Consumer,South Carolina,South,Furniture,Chairs,301.96,2,0,33.22,2017,May,2
26/10/2017,2/11/2017,Standard Class,Consumer,Minnesota,Central,Technology,Accessories,19.99,1,0,6.80,2017,October,7
26/10/2017,2/11/2017,Standard Class,Consumer,Minnesota,Central,Office Supplies,Labels,6.16,2,0,2.96,2017,October,7
5/4/2016,10/4/2016,Second Class,Home Office,Texas,Central,Office Supplies,Storage,158.37,7,0.2,13.86,2016,April,5
17/9/2016,22/9/2016,Standard Class,Corporate,California,West,Office Supplies,Art,20.10,3,0,6.63,2016,September,5
17/9/2016,22/9/2016,Standard Class,Corporate,California,West,Technology,Phones,73.58,2,0.2,8.28,2016,September,5
17/9/2016,22/9/2016,Standard Class,Corporate,California,West,Office Supplies,Paper,6.48,1,0,3.11,2016,September,5
31/1/2015,5/2/2015,Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,12.96,2,0,6.22,2015,January,5
31/1/2015,5/2/2015,Second Class,Consumer,Minnesota,Central,Furniture,Furnishings,53.34,3,0,16.54,2015,January,5
31/1/2015,5/2/2015,Second Class,Consumer,Minnesota,Central,Office Supplies,Binders,32.96,2,0,16.15,2015,January,5
6/11/2017,12/11/2017,Standard Class,Home Office,Oregon,West,Office Supplies,Binders,5.68,1,0.7,-3.79,2017,November,6
9/11/2017,11/11/2017,Second Class,Home Office,New York,East,Furniture,Furnishings,96.53,7,0,40.54,2017,November,2
17/6/2017,20/6/2017,First Class,Consumer,California,West,Office Supplies,Binders,51.31,3,0.2,17.96,2017,June,3
6/9/2016,11/9/2016,Standard Class,Corporate,Minnesota,Central,Office Supplies,Appliances,77.88,6,0,22.59,2016,September,5
29/8/2016,2/9/2016,Standard Class,Home Office,Illinois,Central,Office Supplies,Paper,64.62,7,0.2,22.62,2016,August,4
29/8/2016,2/9/2016,Standard Class,Home Office,Illinois,Central,Technology,Accessories,95.98,3,0.2,-10.80,2016,August,4
29/8/2016,2/9/2016,Standard Class,Home Office,Illinois,Central,Office Supplies,Binders,1.79,3,0.8,-3.04,2016,August,4
1/12/2016,4/12/2016,Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.72,2016,December,3
13/11/2015,17/11/2015,Standard Class,Consumer,Colorado,West,Technology,Accessories,238.90,6,0.2,-26.88,2015,November,4
13/11/2015,17/11/2015,Standard Class,Consumer,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.84,2015,November,4
13/11/2015,17/11/2015,Standard Class,Consumer,Colorado,West,Office Supplies,Binders,36.88,3,0.7,-25.82,2015,November,4
23/11/2017,28/11/2017,Standard Class,Consumer,North Carolina,South,Technology,Accessories,74.11,8,0.2,17.60,2017,November,5
23/11/2017,28/11/2017,Standard Class,Consumer,North Carolina,South,Technology,Phones,27.99,1,0.2,2.10,2017,November,5
23/11/2017,28/11/2017,Standard Class,Consumer,North Carolina,South,Office Supplies,Art,3.30,1,0.2,1.07,2017,November,5
15/10/2015,20/10/2015,Standard Class,Home Office,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.99,2015,October,5
25/12/2017,30/12/2017,Standard Class,Corporate,New York,East,Furniture,Furnishings,41.96,2,0,10.91,2017,December,5
3/11/2016,10/11/2016,Standard Class,Consumer,Iowa,Central,Office Supplies,Art,75.96,2,0,22.79,2016,November,7
3/11/2016,10/11/2016,Standard Class,Consumer,Iowa,Central,Office Supplies,Binders,27.24,6,0,13.35,2016,November,7
25/8/2014,27/8/2014,Second Class,Consumer,Ohio,East,Office Supplies,Fasteners,40.10,14,0.2,14.53,2014,August,2
25/8/2014,27/8/2014,Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.65,2014,August,2
25/8/2014,27/8/2014,Second Class,Consumer,Ohio,East,Office Supplies,Paper,23.98,3,0.2,7.49,2014,August,2
25/8/2014,27/8/2014,Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,130.46,6,0.2,44.03,2014,August,2
2/3/2015,6/3/2015,Standard Class,Consumer,Washington,West,Furniture,Tables,787.53,3,0,165.38,2015,March,4
5/4/2015,10/4/2015,Standard Class,Corporate,Tennessee,South,Office Supplies,Binders,157.79,1,0.7,-115.72,2015,April,5
12/6/2016,15/6/2016,First Class,Consumer,Delaware,East,Furniture,Furnishings,47.04,3,0,18.35,2016,June,3
12/6/2016,15/6/2016,First Class,Consumer,Delaware,East,Office Supplies,Binders,30.84,4,0,13.88,2016,June,3
12/6/2016,15/6/2016,First Class,Consumer,Delaware,East,Office Supplies,Storage,226.56,6,0,63.44,2016,June,3
12/6/2016,15/6/2016,First Class,Consumer,Delaware,East,Office Supplies,Envelopes,115.02,9,0,51.76,2016,June,3
12/6/2016,15/6/2016,First Class,Consumer,Delaware,East,Technology,Phones,68.04,7,0,19.73,2016,June,3
26/12/2014,28/12/2014,Second Class,Home Office,Texas,Central,Furniture,Chairs,600.56,3,0.3,-8.58,2014,December,2
20/9/2014,25/9/2014,Standard Class,Consumer,Illinois,Central,Furniture,Tables,617.70,6,0.5,-407.68,2014,September,5
5/11/2017,12/11/2017,Standard Class,Consumer,Arizona,West,Office Supplies,Binders,2.39,2,0.7,-1.83,2017,November,7
5/11/2017,12/11/2017,Standard Class,Consumer,Arizona,West,Office Supplies,Storage,243.99,7,0.2,30.50,2017,November,7
6/11/2016,10/11/2016,Second Class,Home Office,California,West,Furniture,Chairs,81.42,2,0.2,-9.16,2016,November,4
6/11/2016,10/11/2016,Second Class,Home Office,California,West,Furniture,Furnishings,238.56,3,0,26.24,2016,November,4
2/2/2017,5/2/2017,First Class,Corporate,Ohio,East,Technology,Phones,59.97,5,0.4,-11.99,2017,February,3
2/2/2017,5/2/2017,First Class,Corporate,Ohio,East,Office Supplies,Paper,78.30,2,0.2,29.36,2017,February,3
2/2/2017,5/2/2017,First Class,Corporate,Ohio,East,Office Supplies,Fasteners,21.46,9,0.2,6.97,2017,February,3
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Paper,20.04,3,0,9.62,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Paper,35.44,1,0,16.66,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Art,11.52,4,0,3.46,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Fasteners,4.02,2,0,1.97,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Binders,76.18,3,0.2,26.66,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Office Supplies,Supplies,65.88,6,0,18.45,2016,October,6
13/10/2016,19/10/2016,Standard Class,Consumer,California,West,Furniture,Furnishings,43.12,14,0,20.70,2016,October,6
5/9/2016,7/9/2016,Second Class,Corporate,Pennsylvania,East,Furniture,Furnishings,82.80,2,0.2,10.35,2016,September,2
18/9/2017,23/9/2017,Standard Class,Corporate,California,West,Office Supplies,Art,8.82,3,0,2.38,2017,September,5
18/9/2017,23/9/2017,Standard Class,Corporate,California,West,Office Supplies,Envelopes,10.86,3,0,5.10,2017,September,5
18/9/2017,23/9/2017,Standard Class,Corporate,California,West,Office Supplies,Paper,143.70,3,0,68.98,2017,September,5
22/12/2017,27/12/2017,Standard Class,Consumer,Missouri,Central,Office Supplies,Appliances,839.43,3,0,218.25,2017,December,5
7/9/2015,12/9/2015,Standard Class,Consumer,California,West,Office Supplies,Storage,671.93,7,0,20.16,2015,September,5
22/10/2014,28/10/2014,Standard Class,Home Office,Ohio,East,Furniture,Furnishings,93.89,4,0.2,12.91,2014,October,6
5/12/2016,9/12/2016,Standard Class,Corporate,Wisconsin,Central,Technology,Phones,384.45,11,0,103.80,2016,December,4
5/12/2016,9/12/2016,Standard Class,Corporate,Wisconsin,Central,Technology,Phones,149.97,3,0,6.00,2016,December,4
5/12/2016,9/12/2016,Standard Class,Corporate,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.55,2016,December,4
5/12/2016,9/12/2016,Standard Class,Corporate,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.63,2016,December,4
13/3/2016,16/3/2016,First Class,Home Office,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.77,2016,March,3
13/3/2016,16/3/2016,First Class,Home Office,Arizona,West,Technology,Phones,203.18,2,0.2,15.24,2016,March,3
31/5/2015,2/6/2015,First Class,Corporate,California,West,Office Supplies,Paper,58.38,7,0,26.27,2015,May,2
31/5/2015,2/6/2015,First Class,Corporate,California,West,Office Supplies,Paper,105.52,4,0,48.54,2015,May,2
31/5/2015,2/6/2015,First Class,Corporate,California,West,Office Supplies,Storage,80.88,6,0,21.03,2015,May,2
28/5/2015,3/6/2015,Standard Class,Home Office,Washington,West,Office Supplies,Art,6.63,3,0,1.79,2015,May,6
1/3/2014,6/3/2014,Second Class,Consumer,Washington,West,Furniture,Chairs,457.57,2,0.2,51.48,2014,March,5
20/11/2016,24/11/2016,Standard Class,Consumer,Oklahoma,Central,Office Supplies,Labels,14.62,2,0,6.87,2016,November,4
20/11/2016,24/11/2016,Standard Class,Consumer,Oklahoma,Central,Technology,Phones,944.93,7,0,236.23,2016,November,4
11/5/2016,12/5/2016,First Class,Consumer,California,West,Office Supplies,Paper,5.98,1,0,2.69,2016,May,1
28/12/2015,31/12/2015,Second Class,Consumer,Pennsylvania,East,Technology,Accessories,54.38,2,0.2,1.36,2015,December,3
16/11/2016,20/11/2016,Standard Class,Consumer,New Mexico,West,Office Supplies,Envelopes,28.40,5,0,13.35,2016,November,4
7/11/2016,11/11/2016,Standard Class,Consumer,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.69,2016,November,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Office Supplies,Art,9.94,3,0.2,2.73,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Technology,Machines,8159.95,8,0.4,-1359.99,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Office Supplies,Storage,275.93,3,0.2,-58.63,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.86,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Office Supplies,Art,32.06,6,0.2,6.81,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.85,2014,September,4
8/9/2014,12/9/2014,Standard Class,Consumer,Texas,Central,Technology,Phones,143.98,3,0.2,9.00,2014,September,4
5/8/2014,9/8/2014,Standard Class,Consumer,California,West,Office Supplies,Paper,20.94,3,0,9.84,2014,August,4
5/8/2014,9/8/2014,Standard Class,Consumer,California,West,Office Supplies,Paper,110.96,2,0,53.26,2014,August,4
5/8/2014,9/8/2014,Standard Class,Consumer,California,West,Furniture,Chairs,340.14,7,0.2,21.26,2014,August,4
14/9/2014,19/9/2014,Standard Class,Corporate,Illinois,Central,Office Supplies,Appliances,52.45,2,0.8,-131.12,2014,September,5
14/9/2014,19/9/2014,Standard Class,Corporate,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.55,2014,September,5
21/4/2017,25/4/2017,Second Class,Consumer,Texas,Central,Office Supplies,Appliances,97.26,4,0.8,-243.16,2017,April,4
21/11/2015,23/11/2015,Second Class,Consumer,Ohio,East,Furniture,Chairs,396.80,7,0.3,-11.34,2015,November,2
21/11/2015,23/11/2015,Second Class,Consumer,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.77,2015,November,2
15/12/2015,19/12/2015,Standard Class,Home Office,New York,East,Office Supplies,Art,3.28,1,0,1.41,2015,December,4
5/12/2014,9/12/2014,Second Class,Corporate,Illinois,Central,Office Supplies,Storage,24.82,2,0.2,1.86,2014,December,4
5/12/2014,9/12/2014,Second Class,Corporate,Illinois,Central,Technology,Accessories,408.74,7,0.2,76.64,2014,December,4
19/11/2014,24/11/2014,Second Class,Home Office,Louisiana,South,Technology,Phones,503.96,4,0,131.03,2014,November,5
19/11/2014,24/11/2014,Second Class,Home Office,Louisiana,South,Technology,Phones,149.95,5,0,41.99,2014,November,5
19/11/2014,24/11/2014,Second Class,Home Office,Louisiana,South,Technology,Accessories,29.00,2,0,7.25,2014,November,5
28/11/2016,2/12/2016,Standard Class,Consumer,Connecticut,East,Office Supplies,Binders,7.16,2,0,3.44,2016,November,4
26/8/2014,30/8/2014,Standard Class,Home Office,California,West,Technology,Accessories,176.80,8,0,22.98,2014,August,4
16/7/2016,22/7/2016,Standard Class,Corporate,Texas,Central,Office Supplies,Storage,37.22,3,0.2,3.72,2016,July,6
16/7/2016,22/7/2016,Standard Class,Corporate,Texas,Central,Office Supplies,Paper,20.02,3,0.2,6.26,2016,July,6
12/10/2015,14/10/2015,First Class,Home Office,New York,East,Furniture,Bookcases,899.14,4,0.2,112.39,2015,October,2
12/10/2015,14/10/2015,First Class,Home Office,New York,East,Technology,Phones,71.76,6,0,20.09,2015,October,2
12/10/2015,14/10/2015,First Class,Home Office,New York,East,Office Supplies,Paper,51.84,8,0,24.88,2015,October,2
12/10/2015,14/10/2015,First Class,Home Office,New York,East,Furniture,Bookcases,626.35,3,0.2,46.98,2015,October,2
12/10/2015,14/10/2015,First Class,Home Office,New York,East,Office Supplies,Art,19.90,5,0,6.57,2015,October,2
31/10/2015,6/11/2015,Standard Class,Corporate,California,West,Office Supplies,Envelopes,14.28,7,0,6.71,2015,October,6
21/3/2014,25/3/2014,Standard Class,Consumer,Ohio,East,Office Supplies,Art,7.41,2,0.2,1.20,2014,March,4
21/3/2014,25/3/2014,Standard Class,Consumer,Ohio,East,Office Supplies,Art,6.05,3,0.2,1.59,2014,March,4
6/11/2017,13/11/2017,Standard Class,Home Office,New Jersey,East,Office Supplies,Storage,46.26,3,0,12.03,2017,November,7
6/7/2017,13/7/2017,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Binders,2.95,2,0.7,-2.26,2017,July,7
6/7/2017,13/7/2017,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,16.06,3,0.2,5.82,2017,July,7
24/6/2017,29/6/2017,Standard Class,Consumer,Ohio,East,Office Supplies,Paper,21.74,3,0.2,6.80,2017,June,5
3/8/2014,5/8/2014,First Class,Consumer,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.88,2014,August,2
3/8/2014,5/8/2014,First Class,Consumer,Colorado,West,Office Supplies,Appliances,2.60,1,0.2,0.29,2014,August,2
17/12/2017,21/12/2017,Second Class,Consumer,Texas,Central,Office Supplies,Appliances,66.28,2,0.8,-178.97,2017,December,4
3/6/2017,7/6/2017,Standard Class,Corporate,Tennessee,South,Furniture,Furnishings,35.17,7,0.2,9.67,2017,June,4
9/12/2017,14/12/2017,Standard Class,Consumer,California,West,Technology,Phones,444.77,4,0.2,44.48,2017,December,5
1/12/2017,7/12/2017,Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,83.92,4,0,5.87,2017,December,6
1/12/2017,7/12/2017,Standard Class,Consumer,Michigan,Central,Technology,Phones,131.98,2,0,35.63,2017,December,6
1/12/2017,7/12/2017,Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,15.92,4,0,7.48,2017,December,6
1/12/2017,7/12/2017,Standard Class,Consumer,Michigan,Central,Office Supplies,Fasteners,52.29,9,0,16.21,2017,December,6
1/12/2017,7/12/2017,Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,91.99,1,0,3.68,2017,December,6
9/2/2015,13/2/2015,Second Class,Corporate,Texas,Central,Technology,Accessories,20.80,2,0.2,6.50,2015,February,4
2/1/2015,9/1/2015,Standard Class,Corporate,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88,2015,January,7
2/1/2015,9/1/2015,Standard Class,Corporate,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.32,2015,January,7
2/1/2015,9/1/2015,Standard Class,Corporate,Ohio,East,Technology,Phones,62.98,3,0.4,-14.70,2015,January,7
2/1/2015,9/1/2015,Standard Class,Corporate,Ohio,East,Technology,Machines,1188.00,9,0.7,-950.40,2015,January,7
2/1/2015,9/1/2015,Standard Class,Corporate,Ohio,East,Technology,Accessories,89.58,2,0.2,4.48,2015,January,7
28/10/2016,1/11/2016,Standard Class,Consumer,California,West,Office Supplies,Storage,93.06,6,0,26.06,2016,October,4
28/10/2016,1/11/2016,Standard Class,Consumer,California,West,Technology,Phones,302.38,3,0.2,22.68,2016,October,4
24/12/2015,27/12/2015,First Class,Consumer,Ohio,East,Office Supplies,Fasteners,5.58,2,0.2,1.81,2015,December,3
24/12/2015,27/12/2015,First Class,Consumer,Ohio,East,Office Supplies,Paper,22.70,6,0.2,8.23,2015,December,3
24/12/2015,27/12/2015,First Class,Consumer,Ohio,East,Office Supplies,Binders,19.78,4,0.7,-13.84,2015,December,3
24/12/2015,27/12/2015,First Class,Consumer,Ohio,East,Furniture,Furnishings,72.70,4,0.2,19.08,2015,December,3
