OrderMonth,OrderYear,ShipDuration,ShipMode,Segment,State,Category,SubCategory,Sales
3,2017,2,First Class,Corporate,Minnesota,Technology,Accessories,45.98
3,2017,2,First Class,Corporate,Minnesota,Office Supplies,Binders,17.46
10,2015,5,Second Class,Consumer,Michigan,Office Supplies,Storage,211.96
6,2017,5,Standard Class,Consumer,Delaware,Technology,Accessories,45
6,2017,5,Standard Class,Consumer,Delaware,Technology,Phones,21.8
4,2016,4,Standard Class,Consumer,Indiana,Office Supplies,Binders,38.22
4,2016,4,Standard Class,Consumer,Indiana,Office Supplies,Labels,75.18
4,2016,4,Standard Class,Consumer,Indiana,Furniture,Furnishings,6.16
4,2016,4,Standard Class,Consumer,Indiana,Furniture,Chairs,89.99
12,2017,6,Standard Class,Corporate,New York,Office Supplies,Fasteners,15.26
12,2017,6,Standard Class,Corporate,New York,Technology,Phones,1029.95
6,2017,1,First Class,Consumer,New York,Office Supplies,Storage,208.56
6,2017,1,First Class,Consumer,New York,Office Supplies,Paper,32.4
6,2017,1,First Class,Consumer,New York,Furniture,Chairs,319.41
6,2017,1,First Class,Consumer,New York,Office Supplies,Paper,14.56
6,2017,1,First Class,Consumer,New York,Technology,Accessories,30
6,2017,1,First Class,Consumer,New York,Office Supplies,Binders,48.48
6,2017,1,First Class,Consumer,New York,Office Supplies,Art,1.68
11,2016,6,Standard Class,Consumer,California,Technology,Accessories,13.98
11,2016,6,Standard Class,Consumer,California,Office Supplies,Binders,25.82
11,2016,6,Standard Class,Consumer,California,Office Supplies,Paper,146.73
11,2016,6,Standard Class,Consumer,California,Furniture,Furnishings,79.76
4,2016,5,Standard Class,Home Office,Illinois,Furniture,Chairs,213.12
12,2015,5,Standard Class,Corporate,Arizona,Office Supplies,Art,1113.02
12,2015,5,Standard Class,Corporate,Arizona,Technology,Phones,167.97
6,2017,2,First Class,Consumer,Virginia,Office Supplies,Paper,75.88
9,2017,5,Standard Class,Consumer,New York,Office Supplies,Binders,4.62
9,2018,3,Second Class,Consumer,Michigan,Office Supplies,Paper,19.05
4,2016,6,Standard Class,Consumer,Tennessee,Furniture,Chairs,831.94
4,2016,6,Standard Class,Consumer,Tennessee,Furniture,Furnishings,97.04
4,2016,6,Standard Class,Consumer,Tennessee,Office Supplies,Storage,72.78
12,2018,2,First Class,Corporate,Texas,Office Supplies,Binders,1.25
12,2018,2,First Class,Corporate,Texas,Furniture,Furnishings,9.71
12,2018,2,First Class,Corporate,Texas,Office Supplies,Storage,27.24
11,2015,5,Second Class,Consumer,Texas,Furniture,Furnishings,19.3
6,2017,3,First Class,Corporate,Alabama,Office Supplies,Appliances,208.16
6,2017,3,First Class,Corporate,Alabama,Office Supplies,Binders,16.74
10,2015,4,Standard Class,Consumer,California,Office Supplies,Art,14.9
10,2015,4,Standard Class,Consumer,California,Office Supplies,Storage,21.39
9,2016,5,Standard Class,Corporate,North Carolina,Office Supplies,Envelopes,200.98
11,2018,3,First Class,Home Office,Illinois,Office Supplies,Storage,230.38
5,2018,2,Second Class,Consumer,South Carolina,Furniture,Chairs,301.96
10,2018,7,Standard Class,Consumer,Minnesota,Technology,Accessories,19.99
10,2018,7,Standard Class,Consumer,Minnesota,Office Supplies,Labels,6.16
4,2017,5,Second Class,Home Office,Texas,Office Supplies,Storage,158.37
9,2017,5,Standard Class,Corporate,California,Office Supplies,Art,20.1
9,2017,5,Standard Class,Corporate,California,Technology,Phones,73.58
9,2017,5,Standard Class,Corporate,California,Office Supplies,Paper,6.48
1,2016,5,Second Class,Consumer,Minnesota,Office Supplies,Paper,12.96
1,2016,5,Second Class,Consumer,Minnesota,Furniture,Furnishings,53.34
1,2016,5,Second Class,Consumer,Minnesota,Office Supplies,Binders,32.96
11,2018,6,Standard Class,Home Office,Oregon,Office Supplies,Binders,5.68
11,2018,2,Second Class,Home Office,New York,Furniture,Furnishings,96.53
6,2018,3,First Class,Consumer,California,Office Supplies,Binders,51.31
9,2017,5,Standard Class,Corporate,Minnesota,Office Supplies,Appliances,77.88
8,2017,4,Standard Class,Home Office,Illinois,Office Supplies,Paper,64.62
8,2017,4,Standard Class,Home Office,Illinois,Technology,Accessories,95.98
8,2017,4,Standard Class,Home Office,Illinois,Office Supplies,Binders,1.79
12,2017,3,Second Class,Consumer,Minnesota,Office Supplies,Paper,23.92
11,2016,4,Standard Class,Consumer,Colorado,Technology,Accessories,238.9
11,2016,4,Standard Class,Consumer,Colorado,Furniture,Furnishings,102.36
11,2016,4,Standard Class,Consumer,Colorado,Office Supplies,Binders,36.88
11,2018,5,Standard Class,Consumer,North Carolina,Technology,Accessories,74.11
11,2018,5,Standard Class,Consumer,North Carolina,Technology,Phones,27.99
11,2018,5,Standard Class,Consumer,North Carolina,Office Supplies,Art,3.3
10,2016,5,Standard Class,Home Office,Illinois,Technology,Accessories,339.96
12,2018,5,Standard Class,Corporate,New York,Furniture,Furnishings,41.96
11,2017,7,Standard Class,Consumer,Iowa,Office Supplies,Art,75.96
11,2017,7,Standard Class,Consumer,Iowa,Office Supplies,Binders,27.24
8,2015,2,Second Class,Consumer,Ohio,Office Supplies,Fasteners,40.1
8,2015,2,Second Class,Consumer,Ohio,Office Supplies,Envelopes,4.72
8,2015,2,Second Class,Consumer,Ohio,Office Supplies,Paper,23.98
8,2015,2,Second Class,Consumer,Ohio,Office Supplies,Envelopes,130.46
3,2016,4,Standard Class,Consumer,Washington,Furniture,Tables,787.53
4,2016,5,Standard Class,Corporate,Tennessee,Office Supplies,Binders,157.79
6,2017,3,First Class,Consumer,Delaware,Furniture,Furnishings,47.04
6,2017,3,First Class,Consumer,Delaware,Office Supplies,Binders,30.84
6,2017,3,First Class,Consumer,Delaware,Office Supplies,Storage,226.56
6,2017,3,First Class,Consumer,Delaware,Office Supplies,Envelopes,115.02
6,2017,3,First Class,Consumer,Delaware,Technology,Phones,68.04
12,2015,2,Second Class,Home Office,Texas,Furniture,Chairs,600.56
9,2015,5,Standard Class,Consumer,Illinois,Furniture,Tables,617.7
11,2018,7,Standard Class,Consumer,Arizona,Office Supplies,Binders,2.39
11,2018,7,Standard Class,Consumer,Arizona,Office Supplies,Storage,243.99
11,2017,4,Second Class,Home Office,California,Furniture,Chairs,81.42
11,2017,4,Second Class,Home Office,California,Furniture,Furnishings,238.56
2,2018,3,First Class,Corporate,Ohio,Technology,Phones,59.97
2,2018,3,First Class,Corporate,Ohio,Office Supplies,Paper,78.3
2,2018,3,First Class,Corporate,Ohio,Office Supplies,Fasteners,21.46
10,2017,6,Standard Class,Consumer,California,Office Supplies,Paper,20.04
10,2017,6,Standard Class,Consumer,California,Office Supplies,Paper,35.44
10,2017,6,Standard Class,Consumer,California,Office Supplies,Art,11.52
10,2017,6,Standard Class,Consumer,California,Office Supplies,Fasteners,4.02
10,2017,6,Standard Class,Consumer,California,Office Supplies,Binders,76.18
10,2017,6,Standard Class,Consumer,California,Office Supplies,Supplies,65.88
10,2017,6,Standard Class,Consumer,California,Furniture,Furnishings,43.12
9,2017,2,Second Class,Corporate,Pennsylvania,Furniture,Furnishings,82.8
9,2018,5,Standard Class,Corporate,California,Office Supplies,Art,8.82
9,2018,5,Standard Class,Corporate,California,Office Supplies,Envelopes,10.86
9,2018,5,Standard Class,Corporate,California,Office Supplies,Paper,143.7
12,2018,5,Standard Class,Consumer,Missouri,Office Supplies,Appliances,839.43
9,2016,5,Standard Class,Consumer,California,Office Supplies,Storage,671.93
10,2015,6,Standard Class,Home Office,Ohio,Furniture,Furnishings,93.89
12,2017,4,Standard Class,Corporate,Wisconsin,Technology,Phones,384.45
12,2017,4,Standard Class,Corporate,Wisconsin,Technology,Phones,149.97
12,2017,4,Standard Class,Corporate,Wisconsin,Furniture,Chairs,1951.84
12,2017,4,Standard Class,Corporate,Wisconsin,Office Supplies,Binders,171.55
3,2017,3,First Class,Home Office,Arizona,Office Supplies,Appliances,157.92
3,2017,3,First Class,Home Office,Arizona,Technology,Phones,203.18
5,2016,2,First Class,Corporate,California,Office Supplies,Paper,58.38
5,2016,2,First Class,Corporate,California,Office Supplies,Paper,105.52
5,2016,2,First Class,Corporate,California,Office Supplies,Storage,80.88
5,2016,6,Standard Class,Home Office,Washington,Office Supplies,Art,6.63
3,2015,5,Second Class,Consumer,Washington,Furniture,Chairs,457.57
11,2017,4,Standard Class,Consumer,Oklahoma,Office Supplies,Labels,14.62
11,2017,4,Standard Class,Consumer,Oklahoma,Technology,Phones,944.93
5,2017,1,First Class,Consumer,California,Office Supplies,Paper,5.98
12,2016,3,Second Class,Consumer,Pennsylvania,Technology,Accessories,54.38
11,2017,4,Standard Class,Consumer,New Mexico,Office Supplies,Envelopes,28.4
11,2017,4,Standard Class,Consumer,Washington,Office Supplies,Binders,27.68
9,2015,4,Standard Class,Consumer,Texas,Office Supplies,Art,9.94
9,2015,4,Standard Class,Consumer,Texas,Technology,Machines,8159.95
9,2015,4,Standard Class,Consumer,Texas,Office Supplies,Storage,275.93
9,2015,4,Standard Class,Consumer,Texas,Furniture,Chairs,1740.06
9,2015,4,Standard Class,Consumer,Texas,Office Supplies,Art,32.06
9,2015,4,Standard Class,Consumer,Texas,Office Supplies,Appliances,177.98
9,2015,4,Standard Class,Consumer,Texas,Technology,Phones,143.98
8,2015,4,Standard Class,Consumer,California,Office Supplies,Paper,20.94
8,2015,4,Standard Class,Consumer,California,Office Supplies,Paper,110.96
8,2015,4,Standard Class,Consumer,California,Furniture,Chairs,340.14
9,2015,5,Standard Class,Corporate,Illinois,Office Supplies,Appliances,52.45
9,2015,5,Standard Class,Corporate,Illinois,Office Supplies,Labels,20.16
4,2018,4,Second Class,Consumer,Texas,Office Supplies,Appliances,97.26
11,2016,2,Second Class,Consumer,Ohio,Furniture,Chairs,396.8
11,2016,2,Second Class,Consumer,Ohio,Office Supplies,Supplies,15.88
12,2016,4,Standard Class,Home Office,New York,Office Supplies,Art,3.28
12,2015,4,Second Class,Corporate,Illinois,Office Supplies,Storage,24.82
12,2015,4,Second Class,Corporate,Illinois,Technology,Accessories,408.74
11,2015,5,Second Class,Home Office,Louisiana,Technology,Phones,503.96
11,2015,5,Second Class,Home Office,Louisiana,Technology,Phones,149.95
11,2015,5,Second Class,Home Office,Louisiana,Technology,Accessories,29
11,2017,4,Standard Class,Consumer,Connecticut,Office Supplies,Binders,7.16
8,2015,4,Standard Class,Home Office,California,Technology,Accessories,176.8
7,2017,6,Standard Class,Corporate,Texas,Office Supplies,Storage,37.22
7,2017,6,Standard Class,Corporate,Texas,Office Supplies,Paper,20.02
10,2016,2,First Class,Home Office,New York,Furniture,Bookcases,899.14
10,2016,2,First Class,Home Office,New York,Technology,Phones,71.76
10,2016,2,First Class,Home Office,New York,Office Supplies,Paper,51.84
10,2016,2,First Class,Home Office,New York,Furniture,Bookcases,626.35
10,2016,2,First Class,Home Office,New York,Office Supplies,Art,19.9
10,2016,6,Standard Class,Corporate,California,Office Supplies,Envelopes,14.28
3,2015,4,Standard Class,Consumer,Ohio,Office Supplies,Art,7.41
3,2015,4,Standard Class,Consumer,Ohio,Office Supplies,Art,6.05
11,2018,7,Standard Class,Home Office,New Jersey,Office Supplies,Storage,46.26
7,2018,7,Standard Class,Corporate,Pennsylvania,Office Supplies,Binders,2.95
7,2018,7,Standard Class,Corporate,Pennsylvania,Office Supplies,Paper,16.06
6,2018,5,Standard Class,Consumer,Ohio,Office Supplies,Paper,21.74
8,2015,2,First Class,Consumer,Colorado,Furniture,Tables,218.75
8,2015,2,First Class,Consumer,Colorado,Office Supplies,Appliances,2.6
12,2018,4,Second Class,Consumer,Texas,Office Supplies,Appliances,66.28
6,2018,4,Standard Class,Corporate,Tennessee,Furniture,Furnishings,35.17
12,2018,5,Standard Class,Consumer,California,Technology,Phones,444.77
12,2018,6,Standard Class,Consumer,Michigan,Office Supplies,Storage,83.92
12,2018,6,Standard Class,Consumer,Michigan,Technology,Phones,131.98
12,2018,6,Standard Class,Consumer,Michigan,Office Supplies,Binders,15.92
12,2018,6,Standard Class,Consumer,Michigan,Office Supplies,Fasteners,52.29
12,2018,6,Standard Class,Consumer,Michigan,Office Supplies,Storage,91.99
2,2016,4,Second Class,Corporate,Texas,Technology,Accessories,20.8
1,2016,7,Standard Class,Corporate,Ohio,Office Supplies,Labels,23.68
1,2016,7,Standard Class,Corporate,Ohio,Furniture,Bookcases,452.45
1,2016,7,Standard Class,Corporate,Ohio,Technology,Phones,62.98
1,2016,7,Standard Class,Corporate,Ohio,Technology,Machines,1188
1,2016,7,Standard Class,Corporate,Ohio,Technology,Accessories,89.58
10,2017,4,Standard Class,Consumer,California,Office Supplies,Storage,93.06
10,2017,4,Standard Class,Consumer,California,Technology,Phones,302.38
12,2016,3,First Class,Consumer,Ohio,Office Supplies,Fasteners,5.58
12,2016,3,First Class,Consumer,Ohio,Office Supplies,Paper,22.7
12,2016,3,First Class,Consumer,Ohio,Office Supplies,Binders,19.78
12,2016,3,First Class,Consumer,Ohio,Furniture,Furnishings,72.7
12,2016,3,First Class,Consumer,Ohio,Technology,Machines,479.99
12,2016,3,First Class,Consumer,Ohio,Office Supplies,Art,27.17
8,2016,7,Standard Class,Corporate,Michigan,Office Supplies,Art,2.2
8,2016,7,Standard Class,Corporate,Michigan,Furniture,Tables,622.45
8,2016,7,Standard Class,Corporate,Michigan,Office Supplies,Storage,21.98
2,2016,5,Standard Class,Consumer,Tennessee,Furniture,Chairs,161.57
2,2016,5,Standard Class,Consumer,Tennessee,Furniture,Chairs,389.7
9,2015,4,Standard Class,Corporate,North Carolina,Office Supplies,Binders,18.65
4,2018,5,Standard Class,Home Office,Florida,Furniture,Tables,233.86
4,2018,5,Standard Class,Home Office,Florida,Furniture,Tables,620.61
4,2018,5,Standard Class,Home Office,Florida,Office Supplies,Binders,5.33
4,2018,5,Standard Class,Home Office,Florida,Furniture,Furnishings,258.07
4,2018,5,Standard Class,Home Office,Florida,Technology,Accessories,617.98
11,2018,4,Standard Class,Corporate,California,Office Supplies,Paper,10.56
6,2017,5,Second Class,Consumer,Illinois,Office Supplies,Paper,25.92
6,2017,5,Second Class,Consumer,Illinois,Furniture,Furnishings,419.68
6,2017,5,Second Class,Consumer,Illinois,Furniture,Furnishings,11.69
6,2017,5,Second Class,Consumer,Illinois,Technology,Phones,31.98
6,2017,5,Second Class,Consumer,Illinois,Furniture,Tables,177.23
6,2017,5,Second Class,Consumer,Illinois,Furniture,Furnishings,4.04
6,2017,5,Second Class,Consumer,Illinois,Office Supplies,Art,7.41
6,2015,5,Second Class,Home Office,Minnesota,Furniture,Chairs,2001.86
6,2015,5,Second Class,Home Office,Minnesota,Office Supplies,Storage,166.72
6,2015,5,Second Class,Home Office,Minnesota,Office Supplies,Paper,47.88
6,2015,5,Second Class,Home Office,Minnesota,Office Supplies,Appliances,1503.25
6,2015,5,Second Class,Home Office,Minnesota,Office Supplies,Paper,25.92
12,2017,5,Second Class,Consumer,California,Furniture,Chairs,321.57
9,2017,6,Standard Class,Consumer,California,Office Supplies,Paper,7.61
9,2017,6,Standard Class,Consumer,California,Technology,Accessories,3347.37
12,2017,3,First Class,Consumer,New York,Office Supplies,Storage,80.58
12,2017,3,First Class,Consumer,New York,Office Supplies,Envelopes,361.92
11,2016,6,Standard Class,Corporate,Illinois,Furniture,Furnishings,12.13
11,2016,6,Standard Class,Corporate,Illinois,Office Supplies,Storage,82.37
11,2016,6,Standard Class,Corporate,Illinois,Office Supplies,Storage,53.92
11,2016,6,Standard Class,Corporate,Illinois,Technology,Phones,647.9
12,2018,2,Second Class,Consumer,New York,Technology,Accessories,20.37
12,2018,2,Second Class,Consumer,New York,Office Supplies,Storage,221.55
12,2018,2,Second Class,Consumer,New York,Office Supplies,Binders,17.52
6,2018,4,Standard Class,Corporate,Texas,Office Supplies,Appliances,1.62
9,2015,2,Second Class,Corporate,Texas,Technology,Machines,3059.98
9,2015,2,Second Class,Corporate,Texas,Technology,Machines,2519.96
6,2017,7,Standard Class,Consumer,Illinois,Technology,Phones,328.22
11,2016,5,Standard Class,Consumer,California,Technology,Accessories,79.9
6,2018,4,Standard Class,Corporate,North Carolina,Office Supplies,Art,14.02
1,2017,6,Standard Class,Consumer,New Jersey,Office Supplies,Fasteners,7.56
12,2018,4,Standard Class,Corporate,Ohio,Office Supplies,Storage,37.21
12,2018,4,Standard Class,Corporate,Ohio,Office Supplies,Envelopes,57.58
12,2018,5,Second Class,Corporate,California,Office Supplies,Storage,725.84
7,2016,1,First Class,Consumer,California,Technology,Accessories,209.93
7,2016,1,First Class,Consumer,California,Furniture,Furnishings,5.28
7,2016,1,First Class,Consumer,California,Office Supplies,Binders,10.92
9,2018,1,First Class,Corporate,California,Office Supplies,Paper,8.82
9,2018,1,First Class,Corporate,California,Office Supplies,Art,5.98
10,2018,4,Standard Class,Corporate,Pennsylvania,Office Supplies,Paper,11.65
10,2018,4,Standard Class,Corporate,Pennsylvania,Office Supplies,Paper,18.18
10,2018,4,Standard Class,Corporate,Pennsylvania,Office Supplies,Storage,59.71
10,2018,4,Standard Class,Corporate,Pennsylvania,Office Supplies,Labels,24.84
9,2016,2,Second Class,Consumer,Texas,Office Supplies,Binders,2.08
9,2016,2,Second Class,Consumer,Texas,Technology,Phones,1114.4
11,2016,4,Standard Class,Consumer,California,Furniture,Tables,1038.84
9,2016,6,Standard Class,Consumer,Oregon,Office Supplies,Paper,141.76
9,2016,6,Standard Class,Consumer,Oregon,Technology,Accessories,239.8
9,2016,6,Standard Class,Consumer,Oregon,Office Supplies,Paper,31.1
12,2017,2,Second Class,Corporate,Florida,Office Supplies,Binders,254.06
12,2017,2,Second Class,Corporate,Florida,Office Supplies,Appliances,194.53
12,2017,2,Second Class,Corporate,Florida,Office Supplies,Supplies,961.48
11,2017,4,Second Class,Home Office,Ohio,Office Supplies,Fasteners,19.1
11,2017,4,Second Class,Home Office,Ohio,Office Supplies,Labels,18.5
11,2017,4,Second Class,Home Office,Ohio,Technology,Accessories,255.98
11,2017,4,Second Class,Home Office,Ohio,Furniture,Bookcases,86.97
12,2015,2,First Class,Corporate,Colorado,Furniture,Furnishings,300.42
12,2015,2,First Class,Corporate,Colorado,Furniture,Chairs,230.35
12,2015,2,First Class,Corporate,Colorado,Furniture,Furnishings,218.35
12,2015,2,First Class,Corporate,Colorado,Office Supplies,Binders,78.6
12,2015,2,First Class,Corporate,Colorado,Office Supplies,Fasteners,27.55
10,2017,6,Standard Class,Corporate,New Jersey,Office Supplies,Paper,32.4
10,2017,6,Standard Class,Corporate,New Jersey,Office Supplies,Storage,1082.48
10,2017,6,Standard Class,Corporate,New Jersey,Office Supplies,Paper,56.91
10,2017,6,Standard Class,Corporate,New Jersey,Furniture,Furnishings,77.6
10,2017,6,Standard Class,Corporate,New Jersey,Office Supplies,Binders,14.28
11,2018,4,Standard Class,Consumer,Illinois,Furniture,Tables,219.08
5,2016,5,Second Class,Corporate,New York,Furniture,Furnishings,26.8
12,2015,5,Standard Class,Corporate,Michigan,Office Supplies,Art,9.84
6,2015,5,Standard Class,Home Office,New Jersey,Office Supplies,Binders,45.48
6,2015,5,Standard Class,Home Office,New Jersey,Office Supplies,Art,289.2
4,2018,2,First Class,Consumer,Virginia,Office Supplies,Art,4.89
9,2017,2,Second Class,Corporate,Colorado,Furniture,Furnishings,15.14
9,2017,2,Second Class,Corporate,Colorado,Furniture,Chairs,466.77
9,2017,2,Second Class,Corporate,Colorado,Furniture,Furnishings,15.23
9,2017,2,Second Class,Corporate,Colorado,Office Supplies,Labels,6.26
9,2015,6,Standard Class,Corporate,New Jersey,Furniture,Furnishings,87.54
8,2015,7,Standard Class,Corporate,Florida,Technology,Phones,178.38
8,2015,7,Standard Class,Corporate,Florida,Office Supplies,Paper,15.55
12,2015,2,First Class,Corporate,Pennsylvania,Office Supplies,Art,99.14
11,2015,5,Standard Class,Home Office,New York,Furniture,Chairs,135.88
11,2015,5,Standard Class,Home Office,New York,Technology,Machines,3991.98
11,2015,5,Standard Class,Home Office,New York,Technology,Phones,275.94
11,2015,5,Standard Class,Home Office,New York,Technology,Accessories,360
11,2015,5,Standard Class,Home Office,New York,Office Supplies,Storage,43.57
9,2015,5,Standard Class,Corporate,California,Office Supplies,Fasteners,7.16
4,2017,4,Standard Class,Corporate,California,Office Supplies,Binders,251.52
4,2017,4,Standard Class,Corporate,California,Technology,Accessories,99.99
11,2018,2,Second Class,Corporate,Tennessee,Furniture,Furnishings,15.99
8,2017,2,First Class,Consumer,Pennsylvania,Technology,Phones,290.9
8,2017,2,First Class,Consumer,Pennsylvania,Office Supplies,Storage,54.22
8,2017,2,First Class,Consumer,Pennsylvania,Furniture,Chairs,786.74
8,2017,2,First Class,Consumer,Pennsylvania,Office Supplies,Labels,100.24
8,2017,2,First Class,Consumer,Pennsylvania,Office Supplies,Binders,37.76
4,2017,4,Second Class,Consumer,Pennsylvania,Technology,Phones,82.8
4,2017,4,Second Class,Consumer,Pennsylvania,Office Supplies,Binders,20.72
4,2017,4,Second Class,Consumer,Pennsylvania,Office Supplies,Binders,4.9
9,2016,3,Second Class,Consumer,California,Office Supplies,Binders,4.75
9,2016,3,Second Class,Consumer,California,Technology,Copiers,959.98
9,2016,3,Second Class,Consumer,California,Office Supplies,Binders,14.37
7,2015,5,Standard Class,Corporate,California,Office Supplies,Binders,7.71
7,2015,5,Standard Class,Corporate,California,Furniture,Tables,698.35
6,2016,4,Second Class,Consumer,Utah,Office Supplies,Fasteners,4.96
4,2015,4,Second Class,Corporate,Pennsylvania,Office Supplies,Art,17.86
4,2015,4,Second Class,Corporate,Pennsylvania,Office Supplies,Binders,509.97
4,2015,4,Second Class,Corporate,Pennsylvania,Office Supplies,Fasteners,30.99
4,2015,4,Second Class,Corporate,Pennsylvania,Technology,Phones,71.93
12,2016,4,Standard Class,Consumer,Texas,Office Supplies,Storage,88.8
6,2018,4,Standard Class,Consumer,California,Technology,Phones,47.98
7,2018,4,Standard Class,Consumer,Massachusetts,Office Supplies,Art,7.56
7,2018,4,Standard Class,Consumer,Massachusetts,Office Supplies,Paper,24.56
7,2018,4,Standard Class,Consumer,Massachusetts,Office Supplies,Art,12.96
9,2017,2,First Class,Home Office,New York,Technology,Accessories,6.79
9,2017,2,First Class,Home Office,New York,Office Supplies,Paper,24.56
9,2017,2,First Class,Home Office,New York,Office Supplies,Binders,3.05
9,2017,2,First Class,Home Office,New York,Office Supplies,Paper,49.12
9,2017,2,First Class,Home Office,New York,Office Supplies,Binders,4355.17
4,2017,5,Standard Class,Consumer,New York,Furniture,Bookcases,388.7
4,2017,5,Standard Class,Consumer,New York,Office Supplies,Envelopes,8.26
4,2017,5,Standard Class,Consumer,New York,Office Supplies,Art,17.04
4,2017,5,Standard Class,Consumer,New York,Office Supplies,Paper,34.4
4,2017,5,Standard Class,Corporate,North Carolina,Office Supplies,Paper,36.24
3,2018,3,First Class,Corporate,Georgia,Office Supplies,Appliances,647.84
3,2018,3,First Class,Corporate,Georgia,Office Supplies,Labels,20.7
9,2018,6,Standard Class,Consumer,New York,Office Supplies,Labels,20.7
9,2018,6,Standard Class,Consumer,New York,Furniture,Chairs,488.65
9,2018,6,Standard Class,Consumer,New York,Office Supplies,Art,5.56
9,2018,6,Standard Class,Consumer,New York,Furniture,Furnishings,47.12
9,2015,5,Standard Class,Consumer,California,Office Supplies,Storage,211.96
10,2017,0,Same Day,Corporate,Connecticut,Office Supplies,Binders,23.2
10,2017,0,Same Day,Corporate,Connecticut,Office Supplies,Supplies,7.36
10,2017,0,Same Day,Corporate,Connecticut,Office Supplies,Storage,104.79
10,2017,0,Same Day,Corporate,Connecticut,Furniture,Bookcases,1043.92
5,2018,6,Standard Class,Consumer,Texas,Office Supplies,Paper,25.92
5,2018,6,Standard Class,Consumer,Texas,Office Supplies,Storage,53.42
7,2015,4,Standard Class,Consumer,Arizona,Office Supplies,Binders,8.16
7,2015,4,Standard Class,Consumer,Arizona,Technology,Accessories,1023.94
7,2015,4,Standard Class,Consumer,Arizona,Office Supplies,Art,9.24
7,2015,4,Standard Class,Consumer,Arizona,Technology,Accessories,479.04
9,2017,3,First Class,Corporate,Illinois,Office Supplies,Paper,99.14
8,2018,5,Standard Class,Corporate,Massachusetts,Furniture,Tables,1488.42
4,2016,7,Standard Class,Consumer,Texas,Office Supplies,Appliances,8.65
4,2016,7,Standard Class,Consumer,Texas,Office Supplies,Storage,23.83
4,2016,7,Standard Class,Consumer,Texas,Office Supplies,Binders,12.18
10,2017,1,First Class,Corporate,California,Office Supplies,Paper,50.96
